,기업명,주소,직급,기술스택,자격요건,우대사항,url,기업url,업종분류,사원수,연혁,기업형태,매출액,홈페이지,평균연봉
0,아더월드,"서울시 성동구 왕십리로 125, KD타워 5층 503호",7 ~ 9년,"['JavaScript', 'Node.js', 'AWS CloudFront', 'Kubernetes', 'Ethereum', 'Solidity', 'ethers.js', 'Jenkins', 'NestJS']","['7년 이상의 풀스텍 개발 경험', '블록체인 기술에 대한 기본적인 이해', 'React.js 및 Next.js를 활용한 개발 경험', 'AWS, RDB, NoSQL, Restful API, GraphQL 등 풍부한 백엔드 개발 경험', 'Github을 이용한 버전관리 경험', 'Nest.js 등의 Nodejs 기반 Framework 경험, MVC에 대한 이해도', 'Figma 등을 사용하는 디자이너와 협업 경험', '문제 해결 능력 및 원활한 커뮤니케이션 능력']","['개발팀 PL, PM 등 프로젝트 관리 및 매니징 경험', ' CI/CD를 활용한 빌드, 자동화 배포 경험', ' Notion, Jira 등의 협력툴을 이용한 여러 팀원과 협업 경험', ' HTML, CSS, JavaScript 이해']",https://career.programmers.co.kr/job_positions/26464,http://otherworld.network/,가공식품 도매업,3,5년 (2019년 설립),주식회사,-,-,-
1,에이비일팔공,"대한민국 서울특별시 서초구 강남대로61길 17, 강남대로61길 17",5 ~ 10년,"['Go', 'Python', 'Apache Druid', 'AWS DynamoDB', 'AWS EC2']","['최소 5년 이상의 DevOps 업무 경험', '하나 이상의 개발 언어로 개발 혹은 자동화를 수행해본 경험', '대용량 트래픽 서비스 시스템 개발 및 운영 경험', 'IaC(Infrastructure as Code) 및 지속적 통합과 배포 자동화 구축 경험']","['AdTech 관련 도메인 경험', '더 적은 비용으로 시스템을 운영하기 위한 비용 관리 경험', '클라우드 서비스 위에서의 트러블 슈팅 및 성능 분석 경험', '퍼포먼스 테스트 및 성능 부하 테스트에 대한 경험', '자동화된 DR(Disaster Recovery)를 통한 고가용성 확보 경험', '기본적인 Web Application(Backend)의 구조를 이해하고 개발해본 경험', 'Kubernetes 환경 CI/CD 파이프라인 구축 및 운영 경험']",https://career.programmers.co.kr/job_positions/11945,https://www.ab180.co/,시스템ㆍ응용 소프트웨어 개발 및 공급업,105,9년 (2015년 설립),주식회사,"134억 4,566만",-,"5,446만"
2,레몬베이스,"서울 성동구 아차산로 68, (성수동2가) 11층, 12층 레몬베이스",2 ~ 6년,"['AWS IAM', 'AWS VPC', 'AWS EC2', 'Terraform', 'Docker', 'MariaDB', 'PostgreSQL']","['데이터 엔지니어 경력 2년 이상 혹은 그에 준하는 이해도가 있는 분', 'Spark 및 기타 빅데이터 프레임워크 사용 경험이 있는 분', '데이터마트에 대한 니즈를 발굴하고, 이를 해소하는 파이프라인 및 마트를 구축한 경험이 있으신 분', '작더라도 실제 운영 중인 서비스의 데이터 인프라 및 운영의 A-Z 경험 및 설계를 해보신 분']","['AWS, GCP 등 클라우드 환경에서 데이터 인프라 설계 및 운용', 'MLOps 운영 경험이 있으신 분', '개선되고 성장하는 레몬베이스의 프로덕트 및 서비스에 맞추어 확장 가능한 데이터 아키텍처 구성 경험이 있으신 분', '고객들을 대상으로 하는 데이터 제품 및 플랫폼 운영 경험이 있으신 분', '구성원의 데이터 리터러시를 올리기 위한 활동 경험이 있으신 분']",https://career.programmers.co.kr/job_positions/18904,https://lemonbase.com/,시스템ㆍ응용 소프트웨어 개발 및 공급업,39,4년 (2020년 설립),주식회사,-,-,-
3,서울거래,"서울 영등포구 여의대로 8, (여의도동) 여의도파크센터 에이동 402호",경력 무관,"['Python', 'Django', 'Git', 'AWS ECS', 'PostgreSQL', 'Celery', 'HTML', 'CSS', 'JavaScript']","['서울거래 비상장은 기획자, 디자이너, 마케터, 개발자들이 서로 협업하며 1~2주 단위의 스프린트를 통해 제품을 만들어 가고 있습니다.', '현금과 주식이 오고가는 금융 서비스를 만들어야 하기 때문에 꼼꼼하고 책임감이 강하신 분이면 좋겠습니다. ']","['Celery 사용 경험이 있으신 분', 'DB 성능 최적화(캐싱, SQL 튜닝 등) 경험이 있으신 분', '대용량 트래픽 처리 경험이 있으신 분', '스타트업 근무 경험이 있으신 분 ']",https://career.programmers.co.kr/job_positions/26335,https://www.seoulexchange.kr/,시스템ㆍ응용 소프트웨어 개발 및 공급업,12,4년 (2020년 설립),기타 법인,-,-,"5,561만"
4,알로카도스,"서울 강남구 논현로 404, (역삼동)",경력 무관,"['Redis', 'Python', 'Flask', 'FastAPI', 'Django', 'PostgreSQL', 'MongoDB', 'AWS DynamoDB', 'Docker', 'SQL', 'NoSQL']","['Python 개발 경험을 갖고 상당한 실력을 갖추신 분', 'Flask, Django, FastAPI 중 최소 하나의 프레임워크 사용에 능숙하신 분', 'RDBMS 혹은 NoSQL(MongoDB, Redis)에 대한 설계/개발 경험이 있으신 분', '기본적인 개발능력 (알고리즘, 자료구조, 운영체제, DB 등)', 'AWS/GCP 등의 클라우드 기반 개발 및 배포 경험이 있으신 분', '협업에 대해 긍정적이고 적극적인 마인드 및 문서화 능력이 있으신 분']","['자동화된 Unit test, integration test, Code review 등의 개발 문화에 익숙하신 분', ""K8's/Docker 기반 CI/CD에 대한 이해가 있거나 구현 경험이 있으신 분"", '실시간/메시징 서비스 개발/운영 경험 또는 이해도가 있으신 분', '대용량/대규모 분산 트래픽 처리 경험이 있으신 분', '데이터 파이프라인 (데이터 수집 - 분석 - 서빙) 시스템 개발 경험이 있으신 분', 'Microservice Architecture 기반으로 시스템을 구축하거나 개발한 경험이 있으신 분', '봇 개발 경험이 있으신 분 (Discord, Slack, etc)']",https://career.programmers.co.kr/job_positions/16045,https://gracy.io/,시스템ㆍ응용 소프트웨어 개발 및 공급업,8,3년 (2021년 설립),기타 법인,-,-,"3,664만"
5,플레이하드,"서울 마포구 양화로 19, (합정동) 합정오피스빌딩 2층",3 ~ 30년,"['C#', 'MySQL', 'Node.js', 'ASP.NET', 'AWS CloudFront', 'AWS CloudWatch']","['경력 3년 이상으로, RESTful API 프로젝트를 개발해보신 분', 'RDB, NoSQL 제품별 특성을 이해하고 요구사항에 맞게 솔루션 비교 및 선정, 스키마 설계, 개발 하실 수 있는 분', '네트워크 이론, 보안, 통신 프로토콜을 관심있게 공부하신 분', '상용 서비스 운영하며 다양한 경험 해보신 분 (장애대응, 백업 및 복구, Migration 등)', 'C# , ASP.NET Core, 컨테이너 기반 기술, AWS나 GCP 등 클라우드 서비스에 대한 이해가 있으신 분']","['관련 전공 학과 졸업자 우대 ( 컴퓨터 공학, 네트워크, 데이터베이스 )', '알고리즘과 구조 설계에 두루 능통하신 분 (프로그래머스 Level. 3 이상, 오픈소스 분석할 때 사용된 디자인 패턴 찾고 적용 의도 파악 가능한 수준)', 'CI/CD 파이프라인 구축 경험이 있거나, 프로세스 자동화에 관심이 많으신 분', '실시간 서버 (TCP/UDP, Websocket, WebRTC)나 웹 프론트엔드 경험 있으신 분', '게임을 좋아하고, 게임 도메인의 요구사항에 대한 이해가 있으신 분']",https://career.programmers.co.kr/job_positions/26289,https://playhardlab.com/,시스템ㆍ응용 소프트웨어 개발 및 공급업,28,8년 (2016년 설립),주식회사,"33억 4,839만",-,"5,620만"
6,오토위니,"서울 강남구 남부순환로 2645, 3층 (도곡동, 한독빌딩)",5 ~ 15년,"['Java', 'Spring', 'Spring Boot', 'Oracle', 'MySQL', 'Redis', 'AWS EC2', 'AWS S3', 'AWS Redshift']","['Java, Spring Framework 기반 개발 경력 5년 이상', '주도적으로 백엔드 아키텍쳐를 설계해본 경험이 있으신 분', 'AWS 등 클라우드 환경에서 서비스 개발/운영 경험', '유저가 겪는 문제점을 찾고 기술로 해결하는데 관심 있으신 분']","['Jira, Confluence 등 협업툴 사용에 익숙하신 분', '아키텍처 변경에 따른 마이그레이션 경험이 있으신 분', '꾸준한 학습과 내가 아는 것을 공유하는 것을 좋아하시는 분']",https://career.programmers.co.kr/job_positions/8952,https://www.autowini.com/,상품 중개업,56,10년 (2014년 설립),주식회사,"729억 5,454만",-,"4,623만"
7,젠스타메이트,"서울 중구 을지로5길 16, (을지로2가)",5 ~ 12년,"['JavaScript', 'Node.js', 'GraphQL', 'AWS RDS', 'AWS S3', 'PostgreSQL', 'AWS ECS', 'Docker', 'TypeScript', 'Swagger', 'gRPC', 'MongoDB', 'AWS CodePipeline']",['백엔드 5년~12년 또는 그에 준하는 실력을 보유한 분'],"['비개발 직무 실무자와의 원활한 커뮤니케이션 능력을 보유하신 분', '개발팀을 운영 해보신 분', 'VPC, DNS 를 비롯한 풍부한 클라우드 네트워크 & 인프라 지식을 보유하신 분', 'AWS, GCP, Azure 에서 IaC 기반으로 서비스를 배포해본 경험이 있으신 분', 'K8S 등을 사용하여, 컨테이너 오케스트레이션 경험이 있으신 분', 'Redis 등을 사용하여, 캐싱을 통해 성능 향상을 시켜본 경험이 있으신 분', 'Elastic Search 등을 사용하여, 전문 검색을 구현해본 경험이 있으신 분', '모놀리스에서 MSA 로 전환 경험을 가지신 분', '사용자가 100명 이상인, B2B, B2C 서비스를 운영해본 경험이 있으신 분', '오픈소스 커뮤니티에 기여한 경험이 있으신 분', 'TDD / BDD / 클린코드 / 코드리뷰 등 건강한 개발 방법론을 끊임없이 학습하시는 분']",https://career.programmers.co.kr/job_positions/9603,http://www.genstarmate.com/,사업시설 유지ㆍ관리 서비스업,271,12년 (2012년 설립),기타 법인,"1,085억 4,938만",-,"6,032만"
8,레벨스인크,"서울 서초구 강남대로 369, (서초동)",3 ~ 12년,"['Kotlin', 'Java', 'JavaScript', 'NoSQL', 'Redis', 'Docker', 'AWS ECS', 'AWS EKS']","['웹 어플리케이션 개발, 운영을 만 5년 이상 수행한 경험 또는 그에 상응하는 능력을 가지신 분', 'Spring Framework(Java/Kotlin,ORM) 환경에서 비지니스 문제 해결, 개발/운영 경험이 있는 분', 'AWS 등의 클라우드 환경에서 개발 및 운영 경험이 있는 분', '메시지 브로커(Kafka, SQS 등) 를 활용하여 실시간 분산 처리에 대한 개발/운영 경험이 있는 분', '해외출장에 결격사유가 없으신 분']","['대규모 트래픽 웹 서비스 개발 경험 (인프라 / DB 등)이 있으신 분', 'MSA, Cloud Native App 아키텍처에 대하여 고민하고 구축 및 운영해본 적 있는 분', '테스트 코드 작성, 리팩토링 반복 사이클을 통한 개선에 적극성이 있고 두려움이 없는 분 (특히 이러한 경험에 재미를 느끼셨던 분)', '변수명 하나를 잘 짓기 위한 것도 며칠을 고민하고 결정하며, 그 과정의 가치를 중시하는 분', '불명확하고 복잡성이 높은 상황에서 소통을 통해 문제를 파악, 분석, 해결할 수 있는 분', '블록체인, NFT에 대한 이해도가 높고 관련된 실무 경험이 있으신 분']",https://career.programmers.co.kr/job_positions/19755,https://www.levvels.io/,시스템ㆍ응용 소프트웨어 개발 및 공급업,51,2년 (2022년 설립),외국 주식회사,-,-,"5,932만"
9,트랄라랩,"경기 성남시 분당구 판교역로192번길 14-1, (삼평동)",5 ~ 7년,"['Kubernetes', 'GCP(Google Cloud Platform)', 'CI/CD', 'AWS API Gateway', 'AWS Lambda', 'Blockchain', 'Docker', 'Big Data']","['컴퓨터공학 또는 유사 분야의 학사 학위 소지 하신 분', 'DevOps 실무 경험 및 마이크로 서비스 아키텍처에 대한 지식을 보유하신 분', 'CI/CD 도구 및 플랫폼에 대한 능숙한 지식을 가지신 분', '카프카와 Docker 및 컨테이너화 개념에 대한 이해도가 높으신 분', '리눅스 환경에서 능숙하게 업무를 수행할 수 있는 분', '클라우드 플랫폼 경험 (예: AWS, GCP 등) 을 가지신 분']","['Kubernetes 배포에 능숙하신 분', '클라우드 환경에서 Big Data를 다뤄본 경험이 있으신 분', '블록체인 기술에 대한 심층적인 이해와 경험을 가지신 분', '블록체인 관련 업무 경험이 있으신 분', 'Serverless microservice 개발 경험이 있으신 분 (API gateway, Lambda 사용)', '원활한 영어 의사소통이 가능한 분']",https://career.programmers.co.kr/job_positions/26167,https://trala.me/,게임 소프트웨어 개발 및 공급업,4,1년 (2023년 설립),기타 법인,-,-,"5,852만"
